"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"27 Alagoas";104,97;81,44;83,30;89,65;98,57;84,74;94,37;80,07;0,50;72,88;80,95;90,23;75,56;102,24;60,50;63,96;84,81;3,90;67,08;44,78;41,31;68,67
"28 Sergipe";97,11;94,63;84,28;84,90;82,14;81,78;87,71;78,29;0,40;68,47;80,04;90,83;63,74;92,09;70,86;75,19;81,91;2,01;76,89;23,74;21,14;66,29
"29 Bahia";84,07;71,59;74,05;77,67;83,73;76,86;79,58;70,72;69,45;60,53;67,93;82,72;63,64;85,70;56,24;59,46;77,82;2,58;62,10;25,16;26,96;61,51
"31 Minas Gerais";89,41;76,13;92,20;94,75;105,35;93,25;95,71;88,29;86,03;79,07;85,85;106,79;90,57;98,93;88,38;91,82;93,28;2,18;76,59;17,32;25,14;76,74
"32 Espírito Santo";90,61;79,85;91,78;94,01;117,67;92,14;95,64;89,28;0,42;78,10;92,44;107,60;78,53;104,31;78,35;81,52;92,27;2,82;61,56;48,69;49,87;75,31
"33 Rio de Janeiro";106,29;85,83;93,67;98,30;120,07;96,70;107,63;89,93;0,22;77,94;87,37;98,73;64,52;109,26;72,17;73,79;97,11;3,51;55,69;42,45;52,38;75,25
"35 São Paulo";94,33;89,81;90,32;90,42;110,04;88,48;93,58;83,84;18,63;63,43;86,84;80,76;77,72;92,96;77,73;80,97;88,94;2,38;59,59;24,23;26,42;70,24
"41 Paraná";94,11;75,64;90,74;93,55;104,69;91,58;95,22;87,54;67,58;75,43;84,05;102,10;75,00;91,87;91,29;92,63;91,70;2,77;65,13;18,48;30,94;74,70
"42 Santa Catarina";102,01;87,12;98,79;101,36;121,84;97,64;103,02;92,12;30,75;84,03;93,69;97,05;87,25;98,97;98,38;99,59;97,96;1,86;66,22;27,48;34,36;79,70
"43 Rio Grande do Sul";94,42;72,63;88,29;91,16;110,43;88,27;94,30;84,46;61,16;72,74;84,95;98,55;89,85;90,45;86,47;87,12;88,43;3,25;60,86;24,76;26,13;73,55
"50 Mato Grosso do Sul";106,14;98,35;97,89;101,41;102,64;98,98;103,30;93,78;93,76;83,15;93,96;113,21;87,46;100,98;94,30;94,94;99,06;2,49;89,37;46,68;40,61;84,88
"51 Mato Grosso";96,55;89,84;90,78;95,67;105,80;95,42;99,64;90,64;89,14;78,33;85,86;98,15;77,84;96,68;85,08;85,98;95,48;3,05;73,95;37,37;33,66;78,70
"52 Goiás";92,31;68,60;87,81;87,68;105,04;84,89;91,78;82,10;79,54;72,30;79,68;94,40;75,35;85,93;84,19;85,20;84,94;4,48;57,54;28,70;41,76;72,33
"53 Distrito Federal";138,11;134,78;129,62;148,87;159,70;140,25;140,73;136,83;132,73;107,07;123,76;153,72;101,15;131,75;128,41;129,99;140,41;3,38;103,62;85,71;74,74;116,94
"Total";95,55;81,75;88,98;91,68;105,19;89,27;95,00;84,43;44,59;71,58;84,10;93,86;74,36;95,41;76,71;79,04;89,53;2,73;64,28;31,53;33,81;72,16
